2,PANATHINAIKOS V ARSENAL MIN-BY-MIN,"90 mins Arsenal #39;s woes on their travels in Europe continue as they fail to secure the win, settling for a draw against a well organised Panathinaikos."
2,"Laxman departs, India in trouble, 75 for four","Nagpur, October 27: Laxman was out for 13. India were reduced to 75 for four in reply to Australia #39;s first innings 398 on the second day of the third Test on Wednesday."
2,England Tour to Proceed After Zimbabwe Ends Media Ban (Update3),England #39;s cricket tour of Zimbabwe will go ahead after Robert Mugabe #39;s government lifted a ban preventing 13 British journalists from covering the five one-day internationals.
3,EU #39;s Monti reveals support for Santander #39;s Abbey bid,"MARIO Monti has thrown his support behind Banco Santander Centrale Hispanos 8.75 billion bid for Abbey National, after he said that the offer contributes to European Union single market goals."
3,Lockheed Martin to Buy Stasys Ltd.,"Defense contractor Lockheed Martin Corp. on Monday said it agreed to buy Stasys Ltd., a Britain-based technology and consulting firm specializing in network communications and defense interoperability."
4,PalmOne Announces SD WiFi Card,palmOne today announces that it is to provide a second level of wireless connectivity for Tungsten T3 and Zire 72 handheld users with the introduction of its first Wi-Fi card. Developed specifically for handheld owners who want to complement the ...
3,Honeywell #39;s 3Q Earnings Up on Sales Growth,Aerospace and high-tech manufacturer Honeywell International Inc. on Wednesday reported an 8 percent increase in third-quarter profits behind double-digit growth in sales 
4,Many Churches Installing Cell Phone Jammers,The jarring polychromatic din of ringing cell phones is increasingly being thwarted - from religious sanctuaries to India's parliament to Tokyo theaters and commuter trains - by devices originally developed to help security forces avert eavesdropping and thwart phone-triggered bombings.
2,"No Artest, no problem","No matter who #39;s hurt, no matter who #39;s suspended, no matter who plays, it doesn #39;t seem to matter. The shorthanded Indiana Pacers won their fourth game without a loss Tuesday, in their most difficult game."
1,ANNAN #39;S FUTURE: Remains up in the air with scandal,"When US Secretary of State Colin L. Powell met Secretary-General Kofi Annan last month at an Egyptian summit on Iraq, the two old friends shook hands."
3,Oil price hits \$US50 a barrel,"Crude oil futures hit \$US50 in electronic after-hours trade in New York, setting a new record as supply worries intensified. In regular trading the November benchmark contract for light sweet crude on the "
4,"Dictators ""Defacing"" Famed Burma Temples, Editor Says",&lt;I&gt;Traveler&lt;/I&gt; magazine's geotourism editor says the military dictators of Burma (Myanmar) are defacing medieval Buddhist temples at one of Asia's greatest archaeological sites.
1,WHO Warns Of More Human Deaths After Bird Flu #39;s Latest Victim In &lt;b&gt;...&lt;/b&gt;,"A World Health Organization official has warned of the likelihood of more human deaths from the bird flu virus, after the death of a teenage boy in Thailand this week."
2,Revitalised Els on birdie blitz,A revitalised Ernie Els went on a birdie blitz overnight to snatch the second round lead of the World Golf Championships (WGC) in Ireland.
4,AOL IM becomes  #39;Millionaire #39; friend,LOS ANGELES (Hollywood Reporter) --  quot;Who Wants to Be a Millionaire quot; will soon be the only syndicated TV series to add a real-time interactive element during production tapings.
3,Fresh tax claims hit Yukos,"Shares in Yukos, the Russian oil group beset by difficulties, dropped sharply yesterday after reports that the authorities had launched fresh tax claims against it, totalling up to \$7 billion."
2,Men #39;s 400 a sweep for the US,"ATHENS, Greece - As Bruce Springsteen #39;s  quot;Born in the USA quot; blared over the Olympic Stadium loudspeaker Monday night, three athletes in red, white and blue began a slow victory lap."
3,Honda to Build Transmission Plant in Georgia,"ATLANTA, GA (Nov. 9) - Governor Sonny Perdue and Honda officials announced today plans to build a \$100 million plant in Tallapoosa, Georgia to produce automatic transmissions."
1,RP backs hunt for Filipino #39;s abductors despite threat,"Editor #39;s Note: Published on page A2 of the Oct. 31, 2004 issue of the Philippine Daily Inquirer. DESPITE the threat by a splinter Taliban group to kill a Filipino diplomat and two other hostages unless security "
4,Barrage of Hurricanes May Just Be Florida Normality (Reuters),Reuters - Sorry Florida. This is normal.
1,"In China's Cities, a Turn From Factories","The country's labor force is stalling as urban workers, tired of paltry pay and rat-infested apartments, seek higher wages and better conditions in rural areas."
2,Sosa fined for untimely departure,"Sammy Sosa was fined \$87,400 -- one day's salary -- for arriving late to the Cubs' regular-season finale at Wrigley Field and leaving the game early. The slugger's agent, Adam Katz , said yesterday Sosa most likely will file a grievance. Sosa arrived 70 minutes before Sunday's first pitch, and he apparently left 15 minutes after the game started without ..."
1,"Foreign leaders, royals arrive for Brunei crown prince #39;s wedding",BANDAR SERI BEGAWAN : A glittering array of foreign leaders and royal figures began arriving in Brunei for the grand wedding of the heir to the throne of the oil-rich sultanate.
3,WTO rejects a US appeal,"GENEVA The top court of the World Trade Organization on Monday dismissed a US appeal of an April decision that Canada #39;s Wheat Board met international rules, undermining the Bush administration #39;s efforts to dismantle the Canadian agency."
4,Trade Deficit Soars; Jobless Claims Rise (AP),"AP - The trade deficit jumped to the second-highest level in history as surging demand for foreign oil swamped a small gain in U.S. exports, the government reported Thursday. America's trade gap with China hit an all-time high as retailers stocked up on cell phones, toys and televisions in preparation for Christmas sales."
2,Dodgers score five runs in ninth for crucial victory,"LOS ANGELES -- Milton Bradley snapped. Then, aided by the horrendous Colorado Rockies bullpen, the Los Angeles Dodgers pulled off perhaps their most improbable victory of the season."
2,Three and out,"JACKSONVILLE - The players pinned buttons to their Gator blue wind suits that read:  quot;Another level. quot;. They wore gray T-shirts with the words  quot;Pride Out quot; on the front and  quot;Coaches, Team, Family, quot; on the back."
2,Charlotte Bobcats Pick Up Option on Ely (AP),AP - The Charlotte Bobcats picked up the option on center Melvin Ely for the 2005-06 season.
2,Mariners deal-less but hopeful,"A lineup makeover designed to produce more runs and wins next season looked more hopeful than fulfilled Monday evening, when the Mariners ended the Winter Meetings without a visible home run trot."
2,Rossi on verge of fourth premier world title,PHILLIP ISLAND (Melbourne): Italian Valentino Rossi is within a top-two podium finish of claiming his fourth consecutive premier class world title in the Australian MotoGP championship race here on Sunday.
2,Ford to stay in Rally - 03 November 2004,"Ford pulled the plug on Formula One, but the US carmaker vowed on Tuesday to remain in the FIA-run World Rally championship at least until the end of 2008."
2,Ravens beaten at home,"Like their leader Ray Lewis, the Ravens were pushed around, punched and left bloodied. The Ravens #39; 27-24 loss to the previously winless Kansas City Chiefs on Monday night at "
3,Spitzer sues insurance broker,"California insurance broker Universal Life Resources was sued by New York Attorney General Eliot Spitzer for taking kickbacks from MetLife, Prudential and UnumProvident."
3,Manufacturing accelerates,"Manufacturing in the nation accelerated in August and September, supporting Federal Reserve chairman Alan Greenspan #39;s view that the economy  quot;regained some traction."
4,Polyglot virus is Xmas party pooper,"An email worm which poses as a Christmas greeting began spreading widely yesterday. Zafi-D comes as an infectious attachment to emails written in a variety of different languages, including English, Spanish, Russian, Swedish and Hungarian."
3,Bioscrypt shares soar on hopes for new ID product,"Shares of Bioscrypt Inc. (BYT.TO: Quote, Profile, Research) jumped 18 percent on Wednesday after it said it had teamed up with IBM (IBM."
1,Coroner Discussing Gun Safety Shoots Self,"BLOOMINGTON, Ind. - Monroe County Coroner David Toumey was hospitalized with a leg wound after accidentally shooting himself while trying to demonstrate gun safety..."
2,Aussie drought to break at Classic?,"No Australian has ever won the Funai Classic at Disney World, but there were signs here today of an impending break in the drought."
2,"Schumi still looking ahead, not back","Michael Schumacher has never cared much about statistics and numbers, but he wouldn #39;t mind if all the right numbers came together during this weekend #39;s Belgian Grand Prix."
1,Salt in Their Wounds,Fleeing Iraqis arrive in Jordan only to find that their old oppressors are thriving in Amman
2,Hamilton keeps Olympic gold amid controversy,Earlier this week it emerged that Hamilton had failed two separate doping tests at the Athens Olympics and at this month #39;s Tour of Spain.
4,MSN Toolbar Suite Beta,"So how good are those tools are... and what #39;s the big fuss about them? Personally I don #39;t know, as I didn #39;t try them out."
1,When Private Passions Meet Public Journalism," Should Fox News keep relying on a political reporter who privately mocked John Kerry as a well-manicured ""metrosexual""?"
3,EchoStar Earnings Nearly Triple in 3Q,"ENGLEWOOD, Colo. - Satellite TV giant EchoStar Communications Corp. on Tuesday reported its third-quarter earnings nearly tripled as the parent company of Dish Network, the nation #39;s second largest satelite TV service, added about 350,000 new subscribers."
2,Seahawks CB Lucas suffers bruised lung,"Lucas was released from a San Francisco hospital, where he was kept overnight, and was scheduled to fly back to Seattle, coach Mike Holmgren said."
1,UPI NewsTrack TopNews,"Iraqi national security adviser Kasim Dawood said Saturday up to 1,000 insurgents have been killed in the six-day battle for Fallujah, CNN reported."
1,Blast at Indonesian Embassy in Paris Hurts 9,"An explosion struck the Indonesian Embassy in Paris on Friday, slightly wounding nine people, a French radio station reported."
3,"Blue Chips Fall on Oil, Apple Lifts Techs"," NEW YORK (Reuters) - U.S. blue-chip stocks fell on Monday  as oil prices nudged higher and as drug maker Pfizer Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PFE.N target=/stocks/quickinfo/fullquote""&gt;PFE.N&lt;/A&gt; and aluminum producer Alcoa Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AA.N target=/stocks/quickinfo/fullquote""&gt;AA.N&lt;/A&gt; were hit by  broker downgrades."
2,Johnny Ortiz: Retire Maker Train Rolls On,"Vitali Klitschko is referring to himself as the  quot;Retire Maker, quot; he feels he is responsible for sending Lennox Lewis into retirement after their brutal fight for Lennox #39;s heavyweight title."
3,Venerable Yacht Builder Tries to Regain Sea Legs,Palmer Johnson hopes to regain its former glory by introducing a sleek new motor yacht design and concentrating on building boats.
4,PeopleSoft's prospects top agenda at show,PeopleSoft's Connect 2004 user conference comes just two weeks after a federal judge denied a request by the Department of Justice to block Oracle's attempted takeover of its business applications rival.
1,Pakistan #39;s caretaker PM resigns,"Pakistan #39;s interim Prime Minister Chaudhry Shaujaat Hussain has announced his resignation, paving the way for his successor Shauket Aziz."
1,Ukraine Challenger Predicts Mass Cheating in Vote, KIEV (Reuters) - Liberal challenger Viktor Yushchenko  predicted on Friday that Ukrainian authorities would resort to  mass fraud to ensure victory for the establishment candidate in  an increasingly tense weekend presidential poll.
1,US to fully back Pak chase to catch Bin Laden,The US has said it will fully back any action that Pakistani President Pervez Musharraf takes to capture Osama bin Laden. State Department spokesman Richard Boucher said this at his daily press briefing on 
2,Live: Ryder Cup,"The 35th Ryder Cup starts at 1310 BST on Friday, when the opening fourball match between the USA and Europe is set to tee off at Oakland Hills, Detroit."
3,Shareholders Love a Little Hostility,There's yet another hostile takeover in the tech sector's works.
4,"Novell rejoins desktop fight, with Linux as ally","Looking to tap into discontent with Microsoft, Novell is set to deliver this week a package of Linux-based software for the PC that includes Office-like productivity applications, along with e-mail and Web browsing programs."
2,Poll: Skins' Nickname Offends Few Indians (AP),AP - A poll of American Indians found that an overwhelming majority of them are not bothered by the name of the Washington Redskins.
2,"No Lie, the Moment of Truth Grows Near","We're down to what seems like weekly visits from Major League Baseball's Relocation Committee, dueling polls in Washington and sniping news conferences between competing D.C. and Virginia agencies. All for the privilege of obtaining the Montreal Expos, 55-73 through Friday, and to give them a place to play next year, a new stadium in the near future and a community to love them."
3,"Audited, unaudited results  Cap on variation in net profit &lt;b&gt;...&lt;/b&gt;","THE variation in the net profit after tax figure between unaudited and audited results of companies should not exceed 10 per cent or Rs 10 lakh, whichever is higher."
1,S. Africa's Mbeki on 'urgent mission' to resolve Ivory Coast crisis (AFP),AFP - The African Union mandated South African President Thabo Mbeki to launch an urgent mission to resolve the crisis in Ivory Coast.
2,Singh Floundering in Pursuit of 10th Win (AP),"AP - It appears that Vijay Singh will have to be content with nine wins this year. The world's No. 1 player had another nondescript day at East Lake, shooting an even-par 70 that left him 11 strokes behind co-leaders Tiger Woods and Jay Haas heading into Sunday's final round of the Tour Championship."
1,U.S. Women Beat Spain in First Real Test,"ATHENS, Greece - Seriously challenged for the first time in these Olympics, the U.S. women's basketball team fought through foul problems and long stretches of frigid shooting to clinch first place in its preliminary group with a 71-58 victory over Spain on Friday..."
2,"A look at Notre Dame, Navy","As Notre Dame and Navy prepare to face one another Oct. 16, both squads reach the season #39;s midpoint in much better condition than they were one year ago."
4,Soyuz Damage May Delay Space Station Trip,"SeaDour writes  quot;As if the failed oxygen generator on the International Space Station wasn #39;t bad enough, rumor has it that the planned launch of a Russian Soyuz capsule to change crews onboard the station may be delayed due to a mishap during ground testing "
3,Applebee's Sees Room for More Outlets," LOS ANGELES (Reuters) - Restaurant chain Applebee's  International Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=APPB.O target=/stocks/quickinfo/fullquote""&gt;APPB.O&lt;/A&gt; on Thursday said there was room for  at least 3,000 of its namesake restaurants in the United  States, nearly double the existing number."
4,Vulnerability hits Java for cell phones,Researcher finds two flaws that under unusual circumstances could let a malicious program read private data or render a phone unusable.
4,Budget Windows Goes to India,"Microsoft has tailored its Windows XP Starter Edition for the Indian market, giving it a Hindi interface, as well as help and training resources in that language."
2,Kuznetsova Tops Dementieva for Open Title (AP),"AP - Pounding ferocious forehands and covering the baseline with the muscular legs of a Tour de France rider, Svetlana Kuznetsova overwhelmed Elena Dementieva 6-3, 7-5 Saturday night in the U.S. Open's first all-Russian final."
4,"Hitachi, IBM to lay off 400 at hard disk drive venture","Hitachi Global Storage Technologies Inc. (HGST), the business created by the merger of the hard-disk drive manufacturing units of Hitachi Ltd. and IBM Corp., is to lay off about 400 workers, it said Monday."
1,Stranded Britons party up a storm,Hundreds of British families stranded in Florida are stocking up on treats and holding hurricane parties.
2,Chiefs Club Rams,"The Kansas City Chiefs tuned up their high-octane offense and ran over the St. Louis Rams, 24-7, on Monday night."
1,Vatican Set to Beatify Gibson #39;s Passionate Muse,"Pope John Paul II on Sunday will beatify Sister Anne Catherine Emmerich, a sickly 19th century nun who claimed to have visions that gave her courtside seats at Jesus #39; execution."
2,I Rushed The Irish,"After 30 years of coming up short in Notre Dame Stadium, the Boilermakers took the fight out of the Irish early to remain unbeaten (4-0), winning 41-16."
2,Joe Davidson: Access to Info in Kobe Bryant Trial,"Description: Jury selection got underway Friday in the Kobe Bryant sexual assault trial in Eagle, Colo. News organizations have argued that limits on media access inside the courtroom does not let them fully cover the story."
3,Huge US bakery files Chapter 11,"Bee Staff Writer. Interstate Bakeries Corp., which operates a bakery in Sacramento and recently closed another here, filed Wednesday for bankruptcy reorganization."
3,UnitedHealthcare Settles Medicare Charges," WASHINGTON (Reuters) - UnitedHealth Group's &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=UNH.N target=/stocks/quickinfo/fullquote""&gt;UNH.N&lt;/A&gt;  UnitedHealthcare Insurance Co. has agreed to pay \$3.5 million  to settle charges that it defrauded the Medicare program, the  Justice Department said on Monday."
1,Independent Probe Sought in Abu Ghraib Case (AP),"AP - Amnesty International on Wednesday renewed its call for the United States to set up an independent investigation of the abuse of prisoners in Afghanistan, at Guantanamo Bay and at Abu Ghraib prison in Iraq."
2,Results are in: They #39;re not same old Lakers,"Jeffrey Osborne sang the national anthem before a Lakers home opener for the 22nd straight year, the sellout crowd cheered loudest in the pregame introductions for Kobe Bryant and the Lakers "
1,"Bush, McCain Discuss Ads by Outside Groups","LAS CRUCES, N.M. - President Bush wants to work with Republican Sen..."
4,Survey: Linux Has Long Way to Go in Retail (Ziff Davis),Ziff Davis - A new study by VDC finds Linux in barely 2 percent of retailers' point-of-sale systems; it also indicates more strength for bar-code systems and more stumbling blocks for RFID.
3,Lihir Gold More Confident FY Output Target To Be Met -2-,"MELBOURNE (Dow Jones)--Papua New Guinea-based miner Lihir Gold Ltd. (LIHRY) on Monday said production of 155,002 ounces of gold for the third quarter exceeded expectations."
2,Montana keeps tradition going despite youth,No players are pictured on the front or back covers of the Montana football media guide. Displayed instead are images of the two NCAA championship trophies the Grizzlies have won 
3,Airbus Drops Microsoft Ruling Objections," NEW YORK (Reuters) - Airbus has withdrawn its challenge to  a European Union antitrust ruling against Microsoft Corp. only  days after the aircraft maker's intervention became public, the  Wall Street Journal reported on Friday, citing unnamed sources."
4,The Leonid Meteor Shower 2004: Modest Peak Expected Nov. 16-19 (SPACE.com),"SPACE.com - Next week brings us the \  return of the famous Leonid Meteor Shower, a meteor display that over the past \  several years has brought great anticipation and excitement to sky watchers \  around the world."
1,Report: N. Korea Dismisses Missile Reports (AP),"AP - A high North Korean official dismissed reports his government was preparing to test fire a long-range missile as ""conjecture, rumor and speculation,"" Japanese news media said Saturday."
3,Black 'to resign from Hollinger',"Lord Black will resign as chairman and chief executive of Hollinger Inc, enabling the board to consider his buy-out offer."
2,Real #39;s Camacho offers to resign,"Real Madrid coach Jose Antonio Camacho has offered to resign after the Spanish club #39;s poor start to the season, according to reports in Spain."
4,New iBook G4 is fastest model to date,"Apple Computers #39; latest iBook range is the fastest to date. Still lacking in raw speed compared to Intel Centrino-based laptops, the consumer model is available from just 636 (ex."
1,Dutch investigate Muslim militants,THE Dutch Government said last night that it was investigating a radical Muslim group with suspected links to the man accused of killing the film-maker Theo van Gogh and to bombings in Casablanca last year.
4,India #39;s unmanned moon mission going smoothly: official,"India #39;s unmanned moon mission -Chandrayan - is expected to take place in 2007-08 as it is progressing smoothly, the country #39;s space agency chief G. Madhavan Nair said Sunday in New Delhi."
1,Dutch Clear Van Gogh Slay Suspects (AP),"AP - Six men arrested following the slaying of filmmaker Theo van Gogh are no longer suspects in the killing, but still face charges for belonging to a terrorist group, authorities said Tuesday."
1,Sharon's Likud Rejects Coalition Bid--First Returns," TEL AVIV, Israel (Reuters) - Israeli Prime Minister Ariel  Sharon's right-wing Likud party voted Wednesday to bar a  coalition with center-left Labor that he seeks to advance his  Gaza withdrawal plan, according to early returns."
1,"Frances a Fast-Growing Hurricane, Far Out at Sea (Reuters)",Reuters - Hurricane Frances was born in the\Atlantic Ocean on Thursday but the rapidly growing storm was\many days from threatening any populated area.
1,Army Says C.I.A. Hid More Iraqis Than It Claimed,Army jailers in Iraq kept dozens of detainees at Abu Ghraib prison off official rosters to hide them from Red Cross inspectors.
3,"Whistleblower earns kudos, fears reprisal",WASHINGTON - David Graham says he was surprised when he got back to his Food and Drug Administration office after telling Congress last week the government had allowed unsafe drugs on the market.
4,Update 1: New Crop of Portable Players Nips at iPod,"Lauren, 11, saunters nonchalantly past a Discovery Channel store and a Gymboree clothing store at the mall. Then suddenly, the girl #39;s eyes light up and she pulls her mother into an Apple Computer Inc."
4,New Data Strengthen Mars Life Evidence,Findings in the Martian atmosphere by the European Mars Express spacecraft orbiting the red planet correspond to areas where the US Mars Odyssey spacecraft has detected possible water ice just beneath the surface.
1,Rumsfeld Sees U.S. Troops Leaving Iraq Within 4 Years,The defense secretary also cautioned that any final decision hinged on the progress of Iraq's new government.
2,Redknapp  #39;ready to join Saints #39;,Redknapp has been linked with a move to replace caretaker manager Steve Wigley two weeks after leaving Southampton #39;s south-coast rivals Portsmouth.
1,Killer colonel drops pardon bid,A Russian ex-colonel who was jailed for strangling a Chechen girl reportedly drops his request for a pardon.
3,Nissan runs out of steel,Nissan said today it would halt operations at some of its car plants in Japan for five days starting late this month because of a shortage of steel sheet.
3,Proxy battle taking shape in bid to wrest control of board,"LOS ANGELES (CBS.MW) -- The bitter battle for control of PeopleSoft Inc. has taken a new turn, with Oracle Corp. declaring its intent to stage a proxy fight that would sweep away the board members standing in the way of its \$9.2 billion hostile takeover."
4,"Tinker With Your Computer, and Reap the Rewards","While Microsoft and Google dominate Internet browsing and search, smaller companies offer worthy alternatives."
4,Microsoft Takes Lead in Software For Handhelds (washingtonpost.com),"washingtonpost.com - Microsoft Corp. is no longer an also-ran in the market for handheld-computer software. For the past three months, gadgets running the software giant's Windows Mobile operating system outsold Palm handhelds, finally overtaking a rival that first popularized the electronic datebook organizers in the mid-1990s."
2,SkyChiefs pound on A #39;s,"The Blue Jays smacked the Oakland A #39;s 13-5 yesterday in a game that smacked an awful lot of the Syracuse SkyChiefs. Of the 15 players who had a hand in this much-welcomed cakewalk, nine, including four of "
4,Rise in UK Animal Experiments Angers Campaigners (Reuters),"Reuters - The number of animal experiments in\Britain rose last year to its highest level since 1994,\prompting condemnation from animal rights campaigners who said\the government had failed to curb cruelty."
1,"To Speed Healing, Ossetians Cling Together",A Moscow hospital is filled with a mournful buzz and the activity of people grasping for a way to help six survivors of the three-day hostage-taking at Middle School No. 1.
1,Spanish PM Wants to Testify at Train Bombs Probe, MADRID (Reuters) - Spanish Prime Minister Jose Luis  Rodriguez Zapatero said on Monday he wanted to testify before a  parliamentary commission probing the March 11 train bombings --  an appearance likely to trigger a fierce political debate.
3,US consumer confidence slips in November,"On the same day that a report credited strong consumer spending for fuelling the US economy, a separate report found sentiment among those very consumers waned in November."
2,AL roundup: Royals #39; 26 runs good only for split,"After being on the wrong end of several records in a 26-5 loss to the visiting Kansas City Royals, the Detroit Tigers went out and won 8-0 in the second game of the doubleheader."
2,Big Fat celebration to close Games,"For the last two weeks, the world #39;s focus was on Athens and sport and everyone was invited to a Big Fat Greek Closing Ceremony."
2,Yorke eyes transfer over lack of support #39;,"Dwight Yorke, the Birmingham City striker at the centre of a police investigation into alleged racism at Blackburn Rovers on Sunday, is upset by the lack of support he "
4,Napster Founder Introduces New File Sharing Service,"In yet more file sharing news, NME is reporting that Napster founder Shawn Fanning is planning another legal music download service that will reportedly have an almost limitless amount of tracks."
3,Vioxx woes put FDA process under scrutiny,"Americans should feel reasonably safe taking government-approved prescription drugs - with a few caveats - even after a popular arthritis medication was pulled from the market, medical experts say."
2,Beckham prepares his defence,ENGLAND captain David Beckham was today starting to compile the defence of his self-confessed deliberate booking against Wales to try to avoid a disciplinary charge.
1,Northern Uganda  #39;world #39;s biggest neglected crisis #39;,"Northern Uganda, where around 20,000 children have been kidnapped and many forced to serve as combatants, is the world #39;s biggest neglected humanitarian crisis, the head of UN humanitarian affairs said yesterday."
3,Update 3: Economic Powers Vow Aid for Poor Nations,"Rich nations pledged an agreement soon on forgiving the debt burden weighing on poor nations in Africa, Latin America and Asia but remained divided on reducing billions of dollars of Iraqi debt."
1,"Locusts sighted in Jerusalem, TA","First reports of locust sightings in Jerusalem and Tel-Aviv were reported late Sunday night, Army Radio reported. A cloud of locusts smothered the city of Eilat on Sunday as millions of the ravenous plant-eating "
4,Microsoft vows fight on patent rejection,"In a preliminary ruling, the government rejected Microsoft Corp. #39;s 1996 patent on technology for saving files on computers using easy-to-remember names."
3,Pfizer plant faces EPA inquiry,Pfizer Inc. #39;s manufacturing plant in Portage has been put on notice by the US Environmental Protection Agency for allegedly violating federal.
1,Clash of Civilizations,"What #39;s wrong with this picture? The airspace over the city is declared off-limits to all unauthorized aircraft. Some 200 police, including rooftop snipers and antiterror "
1,Hundreds Rally in Turkey Against Criminalizing Adultery,"Hundreds of demonstrators marched in Turkey #39;s capital Tuesday to protest proposed legislation to make adultery a crime. A crowd of about 500, mostly women, marched from Ankara #39;s central square to parliament "
4,Ohio Candidate Seeks Advice of Web Surfers (AP),AP - An Ohio candidate in a long-shot bid to unseat a 16-term House veteran has an unusual approach in deciding how to spend his campaign. He asks Web surfers: Should he sleep in? Prepare for his debate? Campaign door to door?
1,Straw: Britain 'Sympathetic' to U.S. Troop Request,"The government is ""very sympathetic"" to a U.S. request for British troops in southern Iraq to be moved closer to Baghdad to free up American forces for anti-insurgency operations, British Foreign Secretary Jack Straw said Tuesday."
1,Sharon Offers a Date for Settler Withdrawal From Gaza,Prime Minister Ariel Sharon said today that he wanted to begin withdrawing Israeli settlers from the Gaza Strip next May or June and complete the pullout within three months.
3,"Firm, founder agree to pay more than \$5 mln","BOSTON (CBS.MW) -- Bridgeway Capital Management and its president, lauded for practices that benefit mutual fund shareholders, have agreed to pay more than \$5 million to settle Securities and Exchange Commission charges that the firm overcharged investors "
4,SpaceShipOne set to take X-Prize,"The rocket plane SpaceShipOne is just one flight away from claiming the Ansari X-Prize, a \$10m award designed to kick-start private space travel."
4,Dolly scientists' human clone bid,The scientists who cloned Dolly the sheep apply to use cloned human embryos to study motor neurone disease.
1,U.S.-Led Forces Tighten Hold on Iraq Rebel Town," SAMARRA, Iraq (Reuters) - U.S. and Iraqi forces tightened  their grip on Samarra Saturday, pressing on with one of the  largest offensives since the fall of Saddam Hussein to try to  regain control of the rebel stronghold."
4,"Click, and the Deals Arrive at the Doorstep","Now that all the holiday presents have been opened, it is time to do some real shopping  for the home, from the home."
3,\$50-plus Oil Drags on Economy,Oil prices above \$50 a barrel -nd rising  - now starting to adversely affect the economy and consumers in ways that had not been happening only a few months ago.
3,US files WTO case vs EU for Airbus subsidies,"WASHINGTON (AFX) -- The US has filed a case with the World Trade Organization alleging that the European Union provides unfair government funding to Airbus, United States Trade Representative Robert Zoellick announced Wednesday."
3,Sen. Cantwell seeks relief for utility customers,"Enron hindered federal attempts to ease the 2000-01 West Coast energy crisis by selling government electricity slated for California to Southwestern states, new evidence indicates."
1,Farooq and Omar Abdullah unhurt in Kashmir blast (Reuters),Reuters - A bomb exploded outside a graveyard in Kashmir on Sunday just as the president of the region's main opposition party and the former chief minister were arriving to attend the funeral of a murdered colleague.
3,Feds McTeer tapped to head Texas A amp;M -,"FRX ECO INDUSAFIN ENG  2004-10-13 22:22:02 Fed #39;s McTeer tapped to head Texas A amp;M - UPDATE 1 WASHINGTON (AFX) -- Robert McTeer, president of the Federal Reserve Bank of Dallas, said he would retire from his post if named, as "
3,HCC Insurance Expects \$10M Charley Losses,"HCC Insurance Holdings Inc. on Thursday said it expects its third-quarter losses related to Hurricane Charley after reinsurance recoveries will be less than \$10 million, or 10 cents per share. "
3,"Wal-Mart #39;s October Sales Rise 2.8, Within Forecast (Update1)","Wal-Mart Stores Inc., the world #39;s largest retailer, estimated that October sales at US stores open at least a year rose 2.8 percent, near the lower end of its forecast range, as shoppers "
